Average hours of sunshine per month,,,,,,,,,
,Amarta,Bingchen,Chelsmy,,,,,,
January,,,,,,,,,
February,,,,,,,,,
,,,,,,,,,
Number of days with rain in Amarta,,,,,,,,,
Number of days with rain in Bingchen,,,,,,,,,
Number of days with rain in Chelsmy,,,,,,,,,
Number of days with heavy rain in Amarta,,,,,,,,,
Average wind speed in Amarta in January,,,,,,,,,
Number of days with a wind speed of less than 5 knots in Amarta in January,,,,,,,,,
,,,,,,,,,
Town,Amarta,,,Bingchen,,,Chelsmy,,
Date,Sunshine (hours),Rainfall (mm),Wind speed (knots),Sunshine (hours),Rainfall (mm),Wind speed (knots),Sunshine (hours),Rainfall (mm),Wind speed (knots)
1st January 2023,4.224,6.86,13,3.246,5.36,19,2.109,0.5,10
2nd January 2023,0.479,0,20,3.212,0,23,4.456,0,10
3rd January 2023,4.748,0,20,3.964,9.88,18,4.019,2.97,0
4th January 2023,3.013,0,4,3.256,1.6,16,1.827,3.52,18
5th January 2023,4.848,5.69,21,2.639,0,23,7.716,0,4
6th January 2023,4.784,0,24,1.236,0,16,5.611,0,8
7th January 2023,1.701,8.04,23,1.735,0,16,2.723,5.8,0
8th January 2023,0.773,6.42,13,2.047,3.88,29,4.144,4.38,13
9th January 2023,4.524,0,11,4.225,0,28,2.428,0,11
10th January 2023,2.801,6.59,8,3.386,0,2,4.625,0,2
11th January 2023,0.853,3.89,3,1.904,4.29,6,1.539,0,12
12th January 2023,2.937,7.49,0,0.072,0,26,4.239,9.66,10
13th January 2023,0.209,0.08,20,3.013,2.09,9,2.472,0,15
14th January 2023,3.102,0,5,1.885,0,20,1.184,5.44,10
15th January 2023,2.569,0,27,2.34,0,12,6.266,0,8
16th January 2023,1.744,2.76,23,3.019,3.61,2,6.679,0,13
17th January 2023,2.546,0,18,3.525,5.29,6,3.58,3.73,6
18th January 2023,3.717,0,16,2.755,7.08,27,1.707,5.07,0
19th January 2023,0.309,8.08,4,4.112,0,20,2.596,9.26,15
20th January 2023,1.768,0,5,4.289,0,25,1.95,2.82,7
21st January 2023,0.952,5.34,11,0.23,0,20,1.745,0,9
22nd January 2023,1.576,3.24,28,0.743,0,8,4.535,0.05,6
23rd January 2023,3.165,1.8,22,4.303,2.04,3,2.68,0,6
24th January 2023,0.77,0.68,30,3.614,5.52,6,0.747,0.01,10
25th January 2023,3.283,0,7,0.073,0.23,13,4.82,0,15
26th January 2023,3.061,0,0,2.372,0.05,5,3.336,4.2,7
27th January 2023,2.647,2.81,25,4.897,0,13,4.245,1.93,4
28th January 2023,3.649,1.17,17,2.173,6.9,5,3.736,7.16,18
29th January 2023,2.327,3.61,9,2.314,0,25,2.279,4.02,7
30th January 2023,2.976,0,10,1.414,0,5,2.626,8.94,3
31st January 2023,2.665,6.04,23,1.411,0,12,3.743,0,18
1st February 2023,3.648,7.12,27,1.373,0,21,2.281,8.77,19
2nd February 2023,3.327,5.53,18,3.598,0,16,2.389,3.55,9
3rd February 2023,0.779,2.28,30,1.433,2.89,13,4.455,0,16
4th February 2023,0.86,0,29,0.383,0,29,2.737,8.21,6
5th February 2023,2.218,8.53,2,0.429,0,14,1.202,7.82,15
6th February 2023,4.163,0,26,1.787,3.5,16,0.418,8.5,0
7th February 2023,3.909,0,17,3.121,0,4,4.56,8.65,19
8th February 2023,1.531,8.7,21,3.137,0,4,1.285,0,18
9th February 2023,3.785,9.43,13,2.867,6.43,15,4.999,3.32,19
10th February 2023,4.082,7.84,24,4.894,0,8,1.793,9.76,9
11th February 2023,4.927,0,16,2.224,0,1,3.809,1.03,2
12th February 2023,0.061,0.01,15,4.202,0,20,1.634,0,2
13th February 2023,3.076,4.24,2,4.541,0,29,4.03,0,19
14th February 2023,1.524,8.75,7,2.067,6.21,16,0.719,0,16
15th February 2023,4.31,0,10,0.737,0,10,1.712,6.74,15
16th February 2023,3.497,2.02,1,2.118,0,26,0.193,4.56,15
17th February 2023,2.013,0,18,0.105,0,9,2.779,0,16
18th February 2023,4.467,0,7,3.829,9.65,11,2.506,0,2
19th February 2023,1.513,0,21,3.568,0,26,1.334,0.82,5
20th February 2023,4.33,7.56,2,3.692,6.23,30,0.252,0,13
21st February 2023,3.937,0,28,4.498,0,5,1.362,0,5
22nd February 2023,0.73,9.91,3,1.117,2.86,0,4.189,3.91,1
23rd February 2023,0.679,3.1,4,1.858,0,10,6.069,0,14
24th February 2023,3.204,0,18,4.46,8.67,15,2.676,2.74,6
25th February 2023,2.076,7.67,19,3.495,0,9,3.379,0,5
26th February 2023,1.387,6.86,23,3.633,0,29,3.07,4.39,4
27th February 2023,4.278,1.79,19,2.058,8.34,1,1.584,6.86,16
28th February 2023,0.474,0,16,0.117,0,27,4.948,4.51,20
